"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"E20","DDR_DQ6","MonoIO","DDR_DQ6","","","","","","","","","","","","","","","","",""
"F1","PF8","I/O","QUADSPI_BK1_IO0","","","TIM16_CH1N","TIM4_CH3","TIM8_CH3","","","SAI1_SCK_B","USART6_TX","","TIM13_CH1","QUADSPI_BK1_IO0","","","","",""
"F2","PG9","I/O","","","DEBUG_DBTRGO","","","","I2C2_SDA","","","USART6_RX","SPDIFRX_IN3","FDCAN1_RX","FMC_NE2","","FMC_NCE","","",""
"F3","PD11","I/O","","","","","","LPTIM2_IN2","I2C4_SMBA","","","USART3_CTS/USART3_NSS","SPDIFRX_IN0","QUADSPI_BK1_IO2","ETH2_CLK125","","FMC_A16/FMC_CLE","UART7_RX","",""
"F4","PA12","I/O","","","","TIM1_ETR","SAI2_MCLK_A","","","","","USART1_DE/USART1_RTS","","","","ETH2_CRS_DV/ETH2_RX_CTL/ETH2_RX_DV","FMC_A7","","",""
"F5","VSS","Power","","","","","","","","","","","","","","","","","",""
"F17","VSS","Power","","","","","","","","","","","","","","","","","",""
"F18","VSS","Power","","","","","","","","","","","","","","","","","",""
"F19","DDR_DQ7","MonoIO","DDR_DQ7","","","","","","","","","","","","","","","","",""
"F20","DDR_A5","MonoIO","DDR_A5","","","","","","","","","","","","","","","","",""
"F21","VSS","Power","","","","","","","","","","","","","","","","","",""
"G1","PF6","I/O","QUADSPI_BK1_IO2","","","TIM16_CH1","","","","SPI5_NSS","","UART7_RX","","QUADSPI_BK1_IO2","","ETH2_TX_CTL/ETH2_TX_EN","","","",""
"G2","PG10","I/O","SAI1_SD_B","","","","","","","SPI5_SCK","SAI1_SD_B","","UART8_CTS","FDCAN1_TX","QUADSPI_BK2_IO1","","FMC_NE3","","",""
"G3","PG5","I/O","","","","TIM17_CH1","","","","","","","","","ETH2_MDC","","FMC_A15","","",""
"G5","VDDCPU","Power","","","","","","","","","","","","","","","","","",""
"G7","VDDCPU","Power","","","","","","","","","","","","","","","","","",""
"G8","VSS","Power","","","","","","","","","","","","","","","","","",""
"G9","VDD","Power","","","","","","","","","","","","","","","","","",""
"G10","VDDCPU","Power","","","","","","","","","","","","","","","","","",""
"G11","VDDCORE","Power","","","","","","","","","","","","","","","","","",""
"G12","VSS","Power","","","","","","","","","","","","","","","","","",""
"G13","VDD","Power","","","","","","","","","","","","","","","","","",""
"G14","VSS","Power","","","","","","","","","","","","","","","","","",""
"G15","VDDQ_DDR","Power","","","","","","","","","","","","","","","","","",""
"G17","VDDQ_DDR","Power","","","","","","","","","","","","","","","","","",""
"G19","DDR_A13","MonoIO","DDR_A13","","","","","","","","","","","","","","","","",""
"G20","DDR_A2","MonoIO","DDR_A2","","","","","","","","","","","","","","","","",""
"G21","DDR_A9","MonoIO","DDR_A9","","","","","","","","","","","","","","","","",""
"H2","PE4","I/O","","","","SPI5_MISO","SAI1_D2","DFSDM1_DATIN3","TIM15_CH1N","I2S_CKIN","SAI1_FS_A","UART7_DE/UART7_RTS","UART8_TX","QUADSPI_BK2_NCS","FMC_NCE2","","FMC_A25","","",""
"H3","PF10","I/O","QUADSPI_CLK","","","TIM16_BKIN","SAI1_D3","TIM8_BKIN","","SPI5_NSS","","USART6_DE/USART6_RTS","UART7_DE/UART7_RTS","QUADSPI_CLK","","","","","",""
"H4","PG15","I/O","","","","","","","","","","USART6_CTS/USART6_NSS","UART7_CTS","QUADSPI_BK1_IO1","ETH2_PHY_INTN","","","","",""
"H5","PG8","I/O","","","","TIM2_CH1","","TIM8_ETR","","SPI5_MISO","SAI1_MCLK_B","","USART3_DE/USART3_RTS","SPDIFRX_IN2","QUADSPI_BK2_IO2","QUADSPI_BK1_IO3","FMC_NE2","ETH2_CLK","",""
"H7","VSS","Power","","","","","","","","","","","","","","","","","",""
"H15","VSS","Power","","","","","","","","","","","","","","","","","",""
"H17","DDR_RESETN","MonoIO","DDR_RESETN","","","","","","","","","","","","","","","","",""
"H18","DDR_BA2","MonoIO","DDR_BA2","","","","","","","","","","","","","","","","",""
"H19","DDR_A3","MonoIO","DDR_A3","","","","","","","","","","","","","","","","",""
"H20","DDR_A0","MonoIO","DDR_A0","","","","","","","","","","","","","","","","",""
"J1","PH7","I/O","QUADSPI_BK1_IO3","","","","SAI2_FS_B","","","I2C3_SDA","SPI5_SCK","","","QUADSPI_BK2_IO3","ETH2_TX_CLK","ETH1_TX_CLK","","QUADSPI_BK1_IO3","",""
"J2","PD13","I/O","","","","LPTIM2_ETR","TIM4_CH2","TIM8_CH2","SAI1_CK1","","SAI1_MCLK_A","USART1_RX","","QUADSPI_BK1_IO3","","QUADSPI_BK2_IO2","FMC_A18","","",""
"J3","PB2","I/O","QUADSPI_BK1_NCS","","","RTC_OUT2","SAI1_D1","","","I2S_CKIN","SAI1_SD_A","","UART4_RX","QUADSPI_BK1_NCS","","ETH2_MDIO","FMC_A6","","",""
"J5","PF9","I/O","QUADSPI_BK1_IO1","","","TIM17_CH1N","TIM1_CH1","DFSDM1_CKIN3","","","SAI1_D4","UART7_CTS","UART8_RX","TIM14_CH1","QUADSPI_BK1_IO1","QUADSPI_BK2_IO3","FMC_A9","","",""
"J7","VDD","Power","","","","","","","","","","","","","","","","","",""
"J9","VDD","Power","","","","","","","","","","","","","","","","","",""
"J10","VSS","Power","","","","","","","","","","","","","","","","","",""
"J11","VDDCORE","Power","","","","","","","","","","","","","","","","","",""
"J12","VSS","Power","","","","","","","","","","","","","","","","","",""
"J13","VDD","Power","","","","","","","","","","","","","","","","","",""
"J15","VDDCORE","Power","","","","","","","","","","","","","","","","","",""
"J17","DDR_A7","MonoIO","DDR_A7","","","","","","","","","","","","","","","","",""
"J19","DDR_BA0","MonoIO","DDR_BA0","","","","","","","","","","","","","","","","",""
"J20","DDR_CSN","MonoIO","DDR_CSN","","","","","","","","","","","","","","","","",""
"J21","DDR_ODT","MonoIO","DDR_ODT","","","","","","","","","","","","","","","","",""
"K1","VSS_PLL","Power","","","","","","","","","","","","","","","","","",""
"K2","VDD_PLL","Power","","","","","","","","","","","","","","","","","",""
"K3","PH11","I/O","","","","SPI5_NSS","TIM5_CH2","SAI2_SD_A","","I2S2_WS/SPI2_NSS","I2C4_SCL","USART6_RX","","QUADSPI_BK2_IO0","","ETH2_REF_CLK/ETH2_RX_CLK","FMC_A12","","",""
"K5","VDDCPU","Power","","","","","","","","","","","","","","","","","",""
"K7","VDDCPU","Power","","","","","","","","","","","","","","","","","",""
"K9","VSS","Power","","","","","","","","","","","","","","","","","",""
"K10","VSS","Power","","","","","","","","","","","","","","","","","",""
"K11","VSS","Power","","","","","","","","","","","","","","","","","",""
"K12","VSS","Power","","","","","","","","","","","","","","","","","",""
"K13","VSS","Power","","","","","","","","","","","","","","","","","",""
"K15","VDDQ_DDR","Power","","","","","","","","","","","","","","","","","",""
"K17","VDDQ_DDR","Power","","","","","","","","","","","","","","","","","",""
"K19","DDR_WEN","MonoIO","DDR_WEN","","","","","","","","","","","","","","","","",""
"K20","DDR_RASN","MonoIO","DDR_RASN","","","","","","","","","","","","","","","","",""
"K21","VSS","Power","","","","","","","","","","","","","","","","","",""
"L2","VBAT","Power","","","","","","","","","","","","","","","","","",""
"L3","PC15-OSC32_OUT","I/O","","","","","","","","","","","","","","","","","",""
"L4","PI3","I/O","","","","","","","","","","","SPDIFRX_IN3","","","ETH1_RX_ER","","","",""
"L5","VSS","Power","","","","","","","","","","","","","","","","","",""
"L7","VDDCORE","Power","","","","","","","","","","","","","","","","","",""
"L9","VDDCORE","Power","","","","","","","","","","","","","","","","","",""
"L10","VSS","Power","","","","","","","","","","","","","","","","","",""
"L12","VSS","Power","","","","","","","","","","","","","","","","","",""
"L13","VDDCORE","Power","","","","","","","","","","","","","","","","","",""
"L15","VSS","Power","","","","","","","","","","","","","","","","","",""
"L17","VSS","Power","","","","","","","","","","","","","","","","","",""
"L18","DDR_A10","MonoIO","DDR_A10","","","","","","","","","","","","","","","","",""
"L19","DDR_CASN","MonoIO","DDR_CASN","","","","","","","","","","","","","","","","",""
"L20","DDR_CLKN","MonoIO","DDR_CLKN","","","","","","","","","","","","","","","","",""
"M1","VSS","Power","","","","","","","","","","","","","","","","","",""
"M2","PC14-OSC32_IN","I/O","","","","","","","","","","","","","","","","","",""
"M3","PC13","I/O","","","","","","","","","","","","","","","","","",""
"M5","VDD","Power","","","","","","","","","","","","","","","","","",""
"M7","VSS","Power","","","","","","","","","","","","","","","","","",""
"M9","VSS","Power","","","","","","","","","","","","","","","","","",""
"M10","VSS","Power","","","","","","","","","","","","","","","","","",""
"M11","VSS","Power","","","","","","","","","","","","","","","","","",""
"M12","VSS","Power","","","","","","","","","","","","","","","","","",""
"M13","VSS","Power","","","","","","","","","","","","","","","","","",""
"M15","VDDQ_DDR","Power","","","","","","","","","","","","","","","","","",""
"M17","VDDQ_DDR","Power","","","","","","","","","","","","","","","","","",""
"M19","DDR_A12","MonoIO","DDR_A12","","","","","","","","","","","","","","","","",""
"M20","DDR_CLKP","MonoIO","DDR_CLKP","","","","","","","","","","","","","","","","",""
"M21","DDR_A15","MonoIO","","","","","","","","","","","","","","","","","",""
"N1","PE2","I/O","","","DEBUG_TRACECLK","TIM2_ETR","","","I2C4_SCL","SPI5_MOSI","SAI1_FS_B","USART6_DE/USART6_RTS","","SPDIFRX_IN1","ETH2_RXD1","","FMC_A23","","",""
"N2","PF4","I/O","","","","","","USART2_RX","","","","","","","","ETH2_RXD0","FMC_A4","","",""
"N3","PH6","I/O","","","","","TIM12_CH1","USART2_CK","I2C5_SDA","I2S2_CK/SPI2_SCK","","","","QUADSPI_BK1_IO2","ETH1_PHY_INTN","ETH1_RX_ER","ETH2_RXD2","QUADSPI_BK1_NCS","",""
"N5","PI2","I/O","","","","","","","","","","","SPDIFRX_IN2","","","","","","",""
"N7","VDD","Power","","","","","","","","","","","","","","","","","",""
"N9","VDD","Power","","","","","","","","","","","","","","","","","",""
"N10","VDDCORE","Power","","","","","","","","","","","","","","","","","",""
"N11","VSS","Power","","","","","","","","","","","","","","","","","",""
"N12","VDD","Power","","","","","","","","","","","","","","","","","",""
"N13","VDDCORE","Power","","","","","","","","","","","","","","","","","",""
"N15","VDDCORE","Power","","","","","","","","","","","","","","","","","",""
"N17","DDR_A11","MonoIO","DDR_A11","","","","","","","","","","","","","","","","",""
"N19","DDR_A14","MonoIO","DDR_A14","","","","","","","","","","","","","","","","",""
"N20","DDR_CKE","MonoIO","DDR_CKE","","","","","","","","","","","","","","","","",""
"N21","DDR_A1","MonoIO","DDR_A1","","","","","","","","","","","","","","","","",""
"P2","PA8","I/O","","","RCC_MCO_1","","SAI2_MCLK_A","TIM8_BKIN2","I2C4_SDA","SPI5_MISO","SAI2_CK1","USART1_CK","I2S2_SDO/SPI2_MOSI","","USB_OTG_HS_SOF","ETH2_RXD3","FMC_A21","","",""
"P3","PF7","I/O","","","","TIM17_CH1","","","","","","UART7_TX","UART4_CTS","","ETH1_CLK125","ETH2_TXD0","FMC_A18","","",""
"P4","PI1","I/O","","","","","","","","","","","SPDIFRX_IN1","","","","","","",""
"P5","PI0","I/O","","","","","","","","","","","SPDIFRX_IN0","","","","","","",""
"P7","VSS","Power","","","","","","","","","","","","","","","","","",""
"P15","VSS","Power","","","","","","","","","","","","","","","","","",""
"P17","DDR_DTO1","MonoIO","DDR_DTO1","","","","","","","","","","","","","","","","",""
"P18","DDR_ATO","MonoIO","DDR_ATO","","","","","","","","","","","","","","","","",""
"P19","DDR_A8","MonoIO","DDR_A8","","","","","","","","","","","","","","","","",""
"P20","DDR_BA1","MonoIO","DDR_BA1","","","","","","","","","","","","","","","","",""
"R1","PG1","I/O","","","","LPTIM1_ETR","TIM4_ETR","SAI2_FS_A","I2C2_SMBA","I2S2_SDI/SPI2_MISO","SAI2_D2","","","FDCAN2_TX","ETH2_TXD2","","FMC_NBL0","","",""
"R2","PG11","I/O","","","","","","","SAI2_D3","I2S2_MCK","","USART3_TX","UART4_TX","","ETH2_TXD1","","FMC_A24","","",""
"R3","PH3","I/O","","","","","","","I2C3_SCL","SPI5_MOSI","","","","QUADSPI_BK2_IO1","ETH1_COL","","ETH2_COL","QUADSPI_BK1_IO0","",""
"R5","VDD","Power","","","","","","","","","","","","","","","","","",""
"R7","VDD","Power","","","","","","","","","","","","","","","","","",""
"R8","VSS","Power","","","","","","","","","","","","","","","","","",""
"R9","VDD","Power","","","","","","","","","","","","","","","","","",""
"R10","VDDCORE","Power","","","","","","","","","","","","","","","","","",""
"R11","VSS","Power","","","","","","","","","","","","","","","","","",""
"R12","VDD","Power","","","","","","","","","","","","","","","","","",""
"R13","VDDCORE","Power","","","","","","","","","","","","","","","","","",""
"R14","VSS","Power","","","","","","","","","","","","","","","","","",""
"R15","VDDQ_DDR","Power","","","","","","","","","","","","","","","","","",""
"R17","VDDQ_DDR","Power","","","","","","","","","","","","","","","","","",""
"R19","DDR_A4","MonoIO","DDR_A4","","","","","","","","","","","","","","","","",""
"R20","DDR_ZQ","MonoIO","DDR_ZQ","","","","","","","","","","","","","","","","",""
"R21","DDR_A6","MonoIO","DDR_A6","","","","","","","","","","","","","","","","",""
"T1","VSS","Power","","","","","","","","","","","","","","","","","",""
"T2","PE6","I/O","","","RCC_MCO_2","TIM1_BKIN2","SAI2_SCK_B","","TIM15_CH2","I2C3_SMBA","SAI1_SCK_B","","UART4_DE/UART4_RTS","","","ETH2_TXD3","FMC_A22","","",""
"T3","PH0-OSC_IN","I/O","RCC_OSC_IN","","","","","","","","","","","","","","","","",""
"T4","PA13","I/O","","","DEBUG_DBTRGO","DEBUG_DBTRGI","RCC_MCO_1","","","","","","UART4_TX","","","","","","",""
"T5","VSS","Power","","","","","","","","","","","","","","","","","",""
"T17","VSS","Power","","","","","","","","","","","","","","","","","",""
"T18","DDR_VREF","MonoIO","DDR_VREF","","","","","","","","","","","","","","","","",""
"T19","DDR_DQ10","MonoIO","DDR_DQ10","","","","","","","","","","","","","","","","",""
"T20","DDR_DQ8","MonoIO","DDR_DQ8","","","","","","","","","","","","","","","","",""
"T21","VSS","Power","","","","","","","","","","","","","","","","","",""
"U2","PH1-OSC_OUT","I/O","RCC_OSC_OUT","","","","","","","","","","","","","","","","",""
"U3","VSS_ANA","Power","","","","","","","","","","","","","","","","","",""
"U5","VSS","Power","","","","","","","","","","","","","","","","","",""
"U6","VSS","Power","","","","","","","","","","","","","","","","","",""
"U7","VDD","Power","","","","","","","","","","","","","","","","","",""
"U8","VDDA","Power","","","","","","","","","","","","","","","","","",""
"U9","VSSA","Power","","","","","","","","","","","","","","","","","",""
"U10","PA6","I/O","ADC1_INP17","","","TIM1_BKIN","TIM3_CH1","TIM8_BKIN","SAI2_CK2","I2S1_SDI/SPI1_MISO","","USART1_CK","UART4_DE/UART4_RTS","TIM13_CH1","","","SAI2_SCK_A","","",""
"U11","VSS","Power","","","","","","","","","","","","","","","","","",""
"U12","VDDCORE","Power","","","","","","","","","","","","","","","","","",""
"U13","VSS","Power","","","","","","","","","","","","","","","","","",""
"U14","VDDCORE","Power","","","","","","","","","","","","","","","","","",""
"U15","VDDQ_DDR","Power","","","","","","","","","","","","","","","","","",""
"U16","VSS","Power","","","","","","","","","","","","","","","","","",""
"U17","PWR_ON","Power","","","","","","","","","","","","","","","","","",""
"U19","DDR_DQ13","MonoIO","DDR_DQ13","","","","","","","","","","","","","","","","",""
"U20","DDR_DQ9","MonoIO","DDR_DQ9","","","","","","","","","","","","","","","","",""
"V1","PD7","I/O","","","RCC_MCO_1","","","USART2_CK","I2C2_SCL","I2C3_SDA","","","","SPDIFRX_IN0","ETH1_REF_CLK/ETH1_RX_CLK","QUADSPI_BK1_IO2","FMC_NE1","","",""
"V2","VDD_ANA","Power","","","","","","","","","","","","","","","","","",""
"V3","PG2","I/O","","","","RCC_MCO_2","","TIM8_BKIN","","","","","","","SAI2_MCLK_B","ETH1_MDC","","","",""
"V6","PA7","I/O","ADC1_INP16","","","TIM1_CH1N","TIM3_CH2","TIM8_CH1N","SAI2_D1","I2S1_CK/SPI1_SCK","","USART1_CTS/USART1_NSS","","TIM14_CH1","","ETH1_CRS_DV/ETH1_RX_CTL/ETH1_RX_DV","SAI2_SD_A","","",""
"V8","VREF-","Power","","","","","","","","","","","","","","","","","",""
"V11","NJTRST","MonoIO","DEBUG_JTRST","","","","","","","","","","","","","","","","",""
"V14","VDDA1V1_REG","Power","","","","","","","","","","","","","","","","","",""
"V16","VSS","Power","","","","","","","","","","","","","","","","","",""
"V19","PWR_LP","Power","","","","","","","","","","","","","","","","","",""
"V20","DDR_DQS1P","MonoIO","DDR_DQS1P","","","","","","","","","","","","","","","","",""
"V21","DDR_DQS1N","MonoIO","DDR_DQS1N","","","","","","","","","","","","","","","","",""
"W1","PG3","I/O","SAI2_SD_B","","","","","TIM8_BKIN2","I2C2_SDA","","SAI2_SD_B","","","FDCAN2_RX","ETH2_GTX_CLK","ETH1_MDIO","FMC_A13","","",""
"W2","PG12","I/O","","","","LPTIM1_IN1","","","SAI2_SCK_A","","SAI2_CK2","USART6_DE/USART6_RTS","USART3_CTS","","ETH2_PHY_INTN","ETH1_PHY_INTN","ETH2_CRS_DV/ETH2_RX_CTL/ETH2_RX_DV","","",""
"W3","PWR_CPU_ON","I/O","","","","","","","","","","","","","","","","","",""
"W4","PF13","I/O","ADC1_INP11","","","TIM2_ETR","SAI1_MCLK_B","","","","DFSDM1_DATIN3","USART2_TX","UART5_RX","","","","","","",""
"W5","PC0","I/O","ADC1_INP0","","","","SAI1_SCK_A","","SAI1_CK2","I2S1_MCK","I2S1_SDO/SPI1_MOSI","USART1_TX","","","","","","","",""
"W6","PC3","I/O","ADC1_INP13","","","","SAI1_CK1","DFSDM1_CKOUT","","I2S1_SDI/SPI1_MISO","I2S1_CK/SPI1_SCK","","UART5_CTS","","SAI1_MCLK_A","ETH1_TX_CLK","ETH2_TX_CLK","","",""
"W7","VREF+","Power","","","","","","","","","","","","","","","","","",""
"W8","PB0","I/O","ADC1_INP9","","DEBUG_DBTRGI","TIM1_CH2N","TIM3_CH3","TIM8_CH2N","USART1_RX","I2S1_MCK","SAI2_FS_A","USART1_CK","UART4_CTS","","SAI2_D2","ETH1_RXD2","","","",""
"W9","PA3","I/O","ADC1_INP12","","","TIM2_CH4","TIM5_CH4","LPTIM5_OUT","TIM15_CH2","I2S1_SDO/SPI1_MOSI","SAI1_FS_B","USART2_RX","","","","ETH1_COL","ETH2_COL","","",""
"W10","PE5","I/O","","","","","SAI2_SCK_B","TIM8_CH3","TIM15_CH1","","","","UART4_RX","","ETH1_TXD3","","FMC_NE1","","",""
"W11","VDD","Power","","","","","","","","","","","","","","","","","",""
"W12","USB_RREF","MonoIO","","","","","","","","","","","","","","","","","",""
"W13","PA14","I/O","","","DEBUG_DBTRGO","DEBUG_DBTRGI","RCC_MCO_2","","","","","","","","USB_OTG_HS_SOF","","","","",""
"W14","VDD3V3_USBHS","Power","","","","","","","","","","","","","","","","","",""
"W15","VDDA1V8_REG","Power","","","","","","","","","","","","","","","","","",""
"W16","VSS","Power","","","","","","","","","","","","","","","","","",""
"W17","BYPASS_REG1V8","MonoIO","","","","","","","","","","","","","","","","","",""
"W18","PH5","I/O","DEBUG_JTDO-SWO","","","","","","","","","","","","","","","","",""
"W19","DDR_DQ12","MonoIO","DDR_DQ12","","","","","","","","","","","","","","","","",""
"W20","DDR_DQ11","MonoIO","DDR_DQ11","","","","","","","","","","","","","","","","",""
"W21","DDR_DQM1","MonoIO","DDR_DQM1","","","","","","","","","","","","","","","","",""
"Y1","PA11","I/O","","","","TIM1_CH4","","","I2C5_SCL","I2S2_WS/SPI2_NSS","","USART1_CTS/USART1_NSS","","","ETH2_RXD1","ETH1_CLK","","ETH2_CLK","",""
"Y2","PF14","I/O","DEBUG_JTCK-SWCLK","","","","","","","","","","","","","","","","",""
"Y3","PA0","I/O","ADC1_INP7","","","TIM2_CH1","TIM5_CH1","TIM8_ETR","TIM15_BKIN","","SAI1_SD_B","","UART5_TX","","","ETH1_CRS","ETH2_CRS","","",""
"Y4","PA2","I/O","ADC1_INP1","","","TIM2_CH3","TIM5_CH3","LPTIM4_OUT","TIM15_CH1","","","USART2_TX","","","","ETH1_MDIO","","","",""
"Y5","PA5","I/O","ADC1_INP2","","","TIM2_CH1/TIM2_ETR","USART2_CK","TIM8_CH1N","SAI1_D1","I2S1_WS/SPI1_NSS","SAI1_SD_A","","","","ETH1_PPS_OUT","ETH2_PPS_OUT","","","",""
"Y6","PF11","I/O","ADC1_INP8","","","USART2_TX","SAI1_D2","DFSDM1_CKIN3","","","SAI1_FS_A","","","","","","ETH2_RX_ER","","",""
"Y7","PC4","I/O","ADC1_INP4","","","","TIM3_ETR","DFSDM1_CKIN2","SAI1_D3","I2S1_MCK","","","UART5_DE/UART5_RTS","SPDIFRX_IN2","","ETH1_RXD0","SAI2_D3","","",""
